, ,scp41, , , ,scp51, , , ,scp61, , , ,scpa1, , , ,scpb1, , , ,scpnre1, , , ,scpnrf1, , , 
experiment ,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD 
WOA S2-ELIT_TENT,433.0,435.548,2.092,0.932,266.0,267.355,0.698,5.138,141.0,144.0,1.503,2.174,256.0,257.065,0.801,1.186,69.0,70.226,1.069,0.0,29.0,29.032,0.177,0.0,14.0,14.355,0.478,0.0 
WOA S2-ELIT_CIRCLE,433.0,441.516,3.368,0.932,269.0,276.968,4.131,6.324,145.0,150.968,2.236,5.072,257.0,259.452,2.092,1.581,70.0,73.548,2.255,1.449,29.0,29.581,0.661,0.0,14.0,15.129,0.553,0.0 
SCA S2-STD,22062.0,23141.806,438.705,5042.657,47056.0,48126.065,606.585,18499.209,22288.0,23313.29,383.617,16050.725,70807.0,72716.29,868.65,27886.957,71449.0,72866.161,597.251,103449.275,121451.0,124189.742,916.812,418696.552,118480.0,120862.097,1034.248,846185.714 
SCA S2-STD_LOG,22151.0,23284.032,422.191,5063.403,46822.0,48139.645,658.458,18406.719,22244.0,23305.161,443.611,16018.841,71518.0,72871.484,680.11,28167.984,71590.0,72938.774,685.225,103653.623,120445.0,123834.097,1268.888,415227.586,117617.0,120554.323,1148.711,840021.429 
SCA S2-STD_PIECE,22417.0,23375.355,491.95,5125.408,45823.0,47947.677,786.973,18011.858,21731.0,23337.903,535.516,15647.101,71565.0,73091.032,727.059,28186.561,70199.0,72851.742,915.936,101637.681,120693.0,124055.613,1254.949,416082.759,118989.0,120892.194,973.594,849821.429 
SCA S2-STD_SINE,21764.0,23257.548,491.693,4973.193,47115.0,48304.323,645.308,18522.53,22356.0,23204.742,380.242,16100.0,71391.0,73063.0,744.178,28117.787,70544.0,73194.677,799.013,102137.681,121806.0,123650.613,971.78,419920.69,117909.0,120624.871,1022.642,842107.143 
SCA S2-STD_SINGER,13844.0,14374.581,185.74,3127.04,31705.0,32358.903,281.903,12431.621,13989.0,14401.258,203.081,10036.957,48945.0,49472.419,191.809,19245.85,48766.0,49456.032,284.869,70575.362,85403.0,85909.194,236.305,294393.103,82400.0,83489.0,320.833,588471.429 
SCA S2-STD_SINU,3348.0,3528.032,77.37,680.42,7502.0,7744.387,116.822,2865.217,3048.0,3295.935,120.186,2108.696,11120.0,11624.968,227.265,4295.257,11276.0,11768.226,267.912,16242.029,21123.0,21655.419,321.291,72737.931,20202.0,20856.677,328.238,144200.0 
SCA S2-STD_TENT,22506.0,23292.774,418.168,5146.154,46953.0,48244.581,646.517,18458.498,22170.0,23416.0,396.885,15965.217,70852.0,72971.516,813.61,27904.743,71235.0,72859.516,786.377,103139.13,121256.0,123903.323,1275.195,418024.138,118589.0,120753.419,964.184,846964.286 
SCA S2-STD_CIRCLE,22573.0,23372.484,417.878,5161.772,44869.0,48154.387,990.789,17634.783,22081.0,23220.968,470.806,15900.725,70890.0,72843.323,733.669,27919.763,71153.0,73119.161,754.898,103020.29,121503.0,123690.839,1062.983,418875.862,117865.0,120759.0,1072.418,841792.857 
SCA S2-COM,10265.0,11041.484,354.546,2292.774,21993.0,23219.226,495.393,8592.885,9822.0,11079.194,458.676,7017.391,33603.0,35279.581,790.638,13181.818,33186.0,35487.935,809.712,47995.652,57076.0,60305.065,1221.585,196713.793,57087.0,59112.71,1048.792,407664.286 
SCA S2-COM_LOG,10150.0,11059.774,323.159,2265.967,21389.0,23367.806,567.082,8354.15,9907.0,11133.097,444.258,7078.986,34033.0,35606.71,596.277,13351.779,34011.0,35607.806,643.001,49191.304,59786.0,61189.645,703.686,206058.621,57427.0,59680.839,862.737,410092.857 
SCA S2-COM_PIECE,9963.0,11087.484,413.206,2222.378,22300.0,23167.419,525.127,8714.229,9594.0,11051.194,457.628,6852.174,33448.0,35530.484,704.329,13120.553,34113.0,35522.645,556.377,49339.13,58585.0,60649.194,951.138,201917.241,55992.0,58893.387,1044.145,399842.857 
