, ,knapPI_1_1000_1000_1, , ,knapPI_1_100_1000_1, , ,knapPI_1_2000_1000_1, , ,knapPI_1_200_1000_1, , ,knapPI_1_500_1000_1, , ,knapPI_2_1000_1000_1, , ,knapPI_2_100_1000_1, , ,knapPI_2_2000_1000_1, , ,knapPI_2_200_1000_1, , ,knapPI_2_500_1000_1, , ,knapPI_3_1000_1000_1, , ,knapPI_3_100_1000_1, , ,knapPI_3_2000_1000_1, , ,knapPI_3_200_1000_1, , ,knapPI_3_500_1000_1, , 
experiment ,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD 
WOA S2-STD_SINE,54503.0,54118.871,0.0,9147.0,9147.0,0.0,108598.0,107846.419,1.832,11238.0,11238.0,0.0,28857.0,28849.581,0.0,9051.0,9043.387,0.011,1512.0,1512.0,0.132,17981.0,17905.161,0.388,1634.0,1634.0,0.0,4566.0,4565.548,0.0,14290.0,14280.29,0.695,2397.0,2397.0,0.0,28519.0,28376.161,1.383,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
WOA S2-STD_SINGER,53458.0,52809.032,1.917,9147.0,9147.0,0.0,104903.0,103691.387,5.172,11238.0,11238.0,0.0,28857.0,28759.29,0.0,9027.0,8989.645,0.276,1512.0,1512.0,0.132,17774.0,17658.903,1.535,1634.0,1634.0,0.0,4566.0,4557.774,0.0,14186.0,14053.226,1.418,2397.0,2397.0,0.0,27808.0,27553.613,3.842,2697.0,2697.0,0.0,7117.0,7051.226,0.0 
WOA S2-STD_SINU,52687.0,52146.323,3.332,9147.0,9147.0,0.0,103389.0,100545.613,6.541,11238.0,11238.0,0.0,28857.0,28674.71,0.0,9006.0,8968.806,0.508,1513.0,1512.097,0.066,17626.0,17501.968,2.354,1634.0,1634.0,0.0,4566.0,4560.839,0.0,13989.0,13873.645,2.787,2397.0,2397.0,0.0,27416.0,26964.774,5.197,2697.0,2697.0,0.0,7117.0,7023.032,0.0 
WOA S2-STD_TENT,54503.0,54371.0,0.0,9147.0,9147.0,0.0,109959.0,109113.226,0.602,11238.0,11238.0,0.0,28857.0,28853.29,0.0,9051.0,9049.774,0.011,1512.0,1512.0,0.132,18009.0,17968.452,0.233,1634.0,1634.0,0.0,4566.0,4566.0,0.0,14390.0,14311.806,0.0,2397.0,2397.0,0.0,28719.0,28603.677,0.692,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
WOA S2-STD_CIRCLE,54481.0,54475.355,0.04,9147.0,9147.0,0.0,110555.0,110214.419,0.063,11238.0,11238.0,0.0,28857.0,28834.742,0.0,9051.0,9049.839,0.011,1512.0,1512.0,0.132,18040.0,18027.323,0.061,1634.0,1634.0,0.0,4552.0,4551.29,0.307,14390.0,14389.613,0.0,2396.0,2396.0,0.042,28916.0,28830.774,0.01,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
WOA S2-COM,49135.0,48006.0,9.849,9147.0,9147.0,0.0,95052.0,91784.613,14.077,11238.0,11236.935,0.0,28076.0,27386.677,2.706,8893.0,8746.484,1.757,1512.0,1512.0,0.132,16984.0,16814.29,5.911,1634.0,1634.0,0.0,4555.0,4507.968,0.241,13469.0,13161.645,6.4,2397.0,2396.968,0.0,25916.0,25383.806,10.384,2697.0,2697.0,0.0,6913.0,6790.355,2.866 
WOA S2-COM_LOG,48767.0,47592.226,10.524,9147.0,9147.0,0.0,92635.0,90981.419,16.262,11238.0,11235.871,0.0,27788.0,27144.065,3.704,8826.0,8701.516,2.497,1512.0,1512.0,0.132,17062.0,16795.645,5.479,1634.0,1634.0,0.0,4549.0,4491.581,0.372,13290.0,13084.032,7.644,2397.0,2396.903,0.0,25811.0,25221.323,10.747,2697.0,2696.871,0.0,6912.0,6755.129,2.88 
WOA S2-COM_PIECE,49832.0,47974.226,8.57,9147.0,9147.0,0.0,94761.0,91531.484,14.34,11238.0,11236.226,0.0,28108.0,27405.774,2.596,8810.0,8745.871,2.673,1512.0,1512.0,0.132,17279.0,16832.194,4.277,1634.0,1634.0,0.0,4529.0,4500.387,0.81,13489.0,13176.032,6.261,2397.0,2396.968,0.0,25718.0,25318.677,11.069,2697.0,2696.968,0.0,6917.0,6804.839,2.81 
WOA S2-COM_SINE,49312.0,47966.194,9.524,9147.0,9147.0,0.0,94146.0,91178.806,14.896,11238.0,11236.097,0.0,27953.0,27397.419,3.133,8790.0,8716.516,2.894,1512.0,1512.0,0.132,17068.0,16805.871,5.446,1634.0,1634.0,0.0,4533.0,4501.452,0.723,13486.0,13178.161,6.282,2397.0,2396.935,0.0,25906.0,25271.258,10.419,2697.0,2696.871,0.0,6900.0,6788.355,3.049 
WOA S2-COM_SINGER,50170.0,46691.161,7.95,9147.0,9147.0,0.0,95646.0,90601.161,13.54,11238.0,11233.484,0.0,27972.0,26589.097,3.067,8758.0,8609.71,3.248,1512.0,1512.0,0.132,17031.0,16735.548,5.651,1634.0,1633.516,0.0,4513.0,4458.452,1.161,13375.0,13009.419,7.054,2397.0,2396.935,0.0,25811.0,25342.323,10.747,2697.0,2696.032,0.0,6908.0,6699.258,2.937 
WOA S2-COM_SINU,49464.0,46881.032,9.245,9147.0,9147.0,0.0,96128.0,90695.226,13.105,11238.0,11236.581,0.0,27347.0,26271.161,5.233,8830.0,8558.516,2.452,1512.0,1509.871,0.132,17133.0,16728.935,5.086,1634.0,1629.71,0.0,4525.0,4452.161,0.898,13282.0,13046.548,7.7,2397.0,2397.0,0.0,26015.0,25274.387,10.042,2697.0,2696.645,0.0,6817.0,6677.484,4.215 
